1,2,3,4,5
2017/12/28,1590,0,0,0.0074
2017/12/29,1590,0,0,0.0075
2017/12/30,1590,0,0,0.0074
2017/12/28,1073,14546,32804394.18,0.0979
2017/12/29,1073,15870,35517831.5,0.0938
2017/12/30,1073,13961,32497193.2,0.0849
2017/12/28,1331,1783,202892.118,0.0196
2017/12/29,1331,2072,669448.946,0.0239
2017/12/30,1331,2122,334820.364,0.0177
2017/12/28,1497,26180,9200322.615,0.0458
2017/12/29,1497,26167,7653791.499,0.0437
2017/12/30,1497,27604,11429458.4,0.062
2017/12/28,1430,13365,23992262.41,0.0521
2017/12/29,1430,10499,11737624.6,0.0356
2017/12/30,1430,7888,20711990.82,0.0459
2017/12/28,1910,13020,10194324.77,0.0251
2017/12/29,1910,12563,13102448.74,0.028
2017/12/30,1910,10091,9921789.089,0.0226
2017/12/28,1163,21479,4358176.736,0.0235
2017/12/29,1163,19165,3335761.008,0.025
2017/12/30,1163,19729,3494429.742,0.0201
2017/12/28,1114,60898,59162435.48,0.2145
2017/12/29,1114,61753,52840609.29,0.1838
2017/12/30,1114,32237,43087008.33,0.1547
2017/12/28,1197,38144,18973271.29,0.05
2017/12/29,1197,32002,16967345.36,0.0487
2017/12/30,1197,16548,12586590.16,0.0398
2017/12/28,1172,2209,208611.461,0.0081
2017/12/29,1172,1822,135399.568,0.008
2017/12/30,1172,2639,184204.651,0.008
2017/12/28,1229,6593,4960325.771,0.0232
2017/12/29,1229,5985,4239356.32,0.0226
2017/12/30,1229,3008,1407537.853,0.0132
2017/12/28,1341,26149,11621682.34,0.0516
2017/12/29,1341,29004,9361430.615,0.0473
2017/12/30,1341,26445,9588200.083,0.0448
2017/12/28,1029,15836,4192810.892,0.0398
2017/12/29,1029,16588,10221553.61,0.0646
2017/12/30,1029,14884,5315832.46,0.0462
2017/12/28,1236,15171,8720990.185,0.0363
2017/12/29,1236,14282,7321618.275,0.0377
2017/12/30,1236,15400,14944057.36,0.0552
2017/12/28,1580,15028,15461798.7,0.053
2017/12/29,1580,15418,12379920.43,0.0507
2017/12/30,1580,13448,21365925.94,0.0708
2017/12/28,1125,61937,21367586.1,0.0575
2017/12/29,1125,59995,22292435.61,0.0569
2017/12/30,1125,65688,35027668.71,0.0765
2017/12/28,1074,83,544459.916,0.0092
2017/12/29,1074,29,1963.195,0.0081
2017/12/30,1074,18,1550.127,0.0078
2017/12/28,1574,38893,26880957.35,0.0924
2017/12/29,1574,41012,25034840.31,0.0885
2017/12/30,1574,42438,23235701.98,0.0849
2017/12/28,1795,0,0,/0
2017/12/29,1795,0,0,/0
2017/12/30,1795,0,0,/0
2017/12/28,1699,26805,9565600.958,0.0349
2017/12/29,1699,23341,11464009.7,0.0369
2017/12/30,1699,20962,7559404.841,0.0323
2017/12/28,1054,8386,540115.659,0.0098
2017/12/29,1054,7405,1151483.44,0.011
2017/12/30,1054,7857,1560280.449,0.0127
2017/12/28,1334,4170,5148422.903,0.0232
2017/12/29,1334,4655,4706583.935,0.0258
2017/12/30,1334,3799,5399297.538,0.0258
2017/12/28,1537,8992,4074081.74,0.0228
2017/12/29,1537,10257,2446015.078,0.0187
2017/12/30,1537,8906,3194178.046,0.0194
2017/12/28,1908,16834,8189555.779,0.0384
2017/12/29,1908,15939,5638847.813,0.0321
2017/12/30,1908,10645,8827168.311,0.0429
2017/12/28,1170,28189,14563607.41,0.0632
2017/12/29,1170,26966,14453978.38,0.0583
2017/12/30,1170,18443,12523037.11,0.059
2017/12/28,1076,158894,26963969.93,0.1112
2017/12/29,1076,155977,16685735.53,0.0664
2017/12/30,1076,140474,19506994.3,0.077
2017/12/28,1722,47845,7357900.285,0.043
2017/12/29,1722,52955,10735143.85,0.0536
2017/12/30,1722,85156,13571416.78,0.072
2017/12/28,1075,5570,700829.909,0.0119
